CIPCode2010,CIPTitle2010,Action,Text change,CIPCode2020,CIPTitle2020,,,CIPCode2010,CIPCode2020
01,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",No substantive changes,yes,01,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS.,,,1,1
01.00,"Agriculture, General.",No substantive changes,no,01.00,"Agriculture, General.",,,1,1
01.0000,"Agriculture, General.",No substantive changes,no,01.0000,"Agriculture, General.",,,1,1
01.01,Agricultural Business and Management.,No substantive changes,no,01.01,Agricultural Business and Management.,,,1.01,1.01
01.0101,"Agricultural Business and Management, General.",No substantive changes,no,01.0101,"Agricultural Business and Management, General.",,,1.0101,1.0101
01.0102,Agribusiness/Agricultural Business Operations.,No substantive changes,no,01.0102,Agribusiness/Agricultural Business Operations.,,,1.0102,1.0102
01.0103,Agricultural Economics.,No substantive changes,no,01.0103,Agricultural Economics.,,,1.0103,1.0103
01.0104,Farm/Farm and Ranch Management.,No substantive changes,no,01.0104,Farm/Farm and Ranch Management.,,,1.0104,1.0104
01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.,No substantive changes,no,01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.,,,1.0105,1.0105
01.0106,Agricultural Business Technology.,No substantive changes,yes,01.0106,Agricultural Business Technology/Technician.,,,1.0106,1.0106
01.0199,"Agricultural Business and Management, Other.",No substantive changes,no,01.0199,"Agricultural Business and Management, Other.",,,1.0199,1.0199
01.02,Agricultural Mechanization.,No substantive changes,no,01.02,Agricultural Mechanization.,,,1.02,1.02
01.0201,"Agricultural Mechanization, General.",No substantive changes,no,01.0201,"Agricultural Mechanization, General.",,,1.0201,1.0201
01.0204,Agricultural Power Machinery Operation.,No substantive changes,no,01.0204,Agricultural Power Machinery Operation.,,,1.0204,1.0204
01.0205,Agricultural Mechanics and Equipment/Machine Technology.,No substantive changes,yes,01.0205,Agricultural Mechanics and Equipment/Machine Technology/Technician.,,,1.0205,1.0205
,,New,no,01.0207,Irrigation Management Technology/Technician.,,,,1.0207
01.0299,"Agricultural Mechanization, Other.",No substantive changes,no,01.0299,"Agricultural Mechanization, Other.",,,1.0299,1.0299
01.03,Agricultural Production Operations.,No substantive changes,no,01.03,Agricultural Production Operations.,,,1.03,1.03
01.0301,"Agricultural Production Operations, General.",No substantive changes,no,01.0301,"Agricultural Production Operations, General.",,,1.0301,1.0301
01.0302,Animal/Livestock Husbandry and Production.,No substantive changes,no,01.0302,Animal/Livestock Husbandry and Production.,,,1.0302,1.0302
01.0303,Aquaculture.,No substantive changes,no,01.0303,Aquaculture.,,,1.0303,1.0303
01.0304,Crop Production.,No substantive changes,no,01.0304,Crop Production.,,,1.0304,1.0304
01.0306,Dairy Husbandry and Production.,No substantive changes,no,01.0306,Dairy Husbandry and Production.,,,1.0306,1.0306
01.0307,Horse Husbandry/Equine Science and Management.,No substantive changes,no,01.0307,Horse Husbandry/Equine Science and Management.,,,1.0307,1.0307
01.0308,Agroecology and Sustainable Agriculture.,No substantive changes,no,01.0308,Agroecology and Sustainable Agriculture.,,,1.0308,1.0308
01.0309,Viticulture and Enology.,Moved to,no,01.1004,Viticulture and Enology.,,,1.0309,1.1004
,,New,no,01.0310,Apiculture.,,,,1.031
01.0399,"Agricultural Production Operations, Other.",No substantive changes,no,01.0399,"Agricultural Production Operations, Other.",,,1.0399,1.0399
01.04,Agricultural and Food Products Processing.,No substantive changes,no,01.04,Agricultural and Food Products Processing.,,,1.04,1.04
01.0401,Agricultural and Food Products Processing.,No substantive changes,no,01.0401,Agricultural and Food Products Processing.,,,1.0401,1.0401
,,New,no,01.0480,Reserved.,,,,1.048
01.05,Agricultural and Domestic Animal Services.,No substantive changes,no,01.05,Agricultural and Domestic Animal Services.,,,1.05,1.05
01.0504,Dog/Pet/Animal Grooming.,No substantive changes,no,01.0504,Dog/Pet/Animal Grooming.,,,1.0504,1.0504
01.0505,Animal Training.,No substantive changes,no,01.0505,Animal Training.,,,1.0505,1.0505
01.0507,Equestrian/Equine Studies.,No substantive changes,no,01.0507,Equestrian/Equine Studies.,,,1.0507,1.0507
01.0508,Taxidermy/Taxidermist.,No substantive changes,no,01.0508,Taxidermy/Taxidermist.,,,1.0508,1.0508
,,New,no,01.0509,Farrier Science.,,,,1.0509
01.0599,"Agricultural and Domestic Animal Services, Other.",No substantive changes,no,01.0599,"Agricultural and Domestic Animal Services, Other.",,,1.0599,1.0599
01.06,Applied Horticulture and Horticultural Business Services.,No substantive changes,no,01.06,Applied Horticulture and Horticultural Business Services.,,,1.06,1.06
01.0601,"Applied Horticulture/Horticulture Operations, General.",No substantive changes,no,01.0601,"Applied Horticulture/Horticulture Operations, General.",,,1.0601,1.0601
01.0603,Ornamental Horticulture.,No substantive changes,no,01.0603,Ornamental Horticulture.,,,1.0603,1.0603
01.0604,Greenhouse Operations and Management.,No substantive changes,no,01.0604,Greenhouse Operations and Management.,,,1.0604,1.0604
01.0605,Landscaping and Groundskeeping.,No substantive changes,no,01.0605,Landscaping and Groundskeeping.,,,1.0605,1.0605
01.0606,Plant Nursery Operations and Management.,No substantive changes,no,01.0606,Plant Nursery Operations and Management.,,,1.0606,1.0606
01.0607,Turf and Turfgrass Management.,No substantive changes,no,01.0607,Turf and Turfgrass Management.,,,1.0607,1.0607
01.0608,Floriculture/Floristry Operations and Management.,No substantive changes,no,01.0608,Floriculture/Floristry Operations and Management.,,,1.0608,1.0608
,,New,no,01.0609,Public Horticulture.,,,,1.0609
,,New,no,01.0610,Urban and Community Horticulture.,,,,1.061
,,New,no,01.0680,Reserved.,,,,1.068
01.0699,"Applied Horticulture/Horticultural Business Services, Other.",No substantive changes,no,01.0699,"Applied Horticulture/Horticultural Business Services, Other.",,,1.0699,1.0699
01.07,International Agriculture.,No substantive changes,no,01.07,International Agriculture.,,,1.07,1.07
01.0701,International Agriculture.,No substantive changes,no,01.0701,International Agriculture.,,,1.0701,1.0701
01.08,Agricultural Public Services.,No substantive changes,no,01.08,Agricultural Public Services.,,,1.08,1.08
01.0801,Agricultural and Extension Education Services.,No substantive changes,no,01.0801,Agricultural and Extension Education Services.,,,1.0801,1.0801
01.0802,Agricultural Communication/Journalism.,No substantive changes,no,01.0802,Agricultural Communication/Journalism.,,,1.0802,1.0802
01.0899,"Agricultural Public Services, Other.",No substantive changes,no,01.0899,"Agricultural Public Services, Other.",,,1.0899,1.0899
01.09,Animal Sciences.,No substantive changes,no,01.09,Animal Sciences.,,,1.09,1.09
01.0901,"Animal Sciences, General.",No substantive changes,no,01.0901,"Animal Sciences, General.",,,1.0901,1.0901
01.0902,Agricultural Animal Breeding.,No substantive changes,no,01.0902,Agricultural Animal Breeding.,,,1.0902,1.0902
01.0903,Animal Health.,No substantive changes,no,01.0903,Animal Health.,,,1.0903,1.0903
01.0904,Animal Nutrition.,No substantive changes,no,01.0904,Animal Nutrition.,,,1.0904,1.0904
01.0905,Dairy Science.,No substantive changes,no,01.0905,Dairy Science.,,,1.0905,1.0905
01.0906,Livestock Management.,No substantive changes,no,01.0906,Livestock Management.,,,1.0906,1.0906
01.0907,Poultry Science.,No substantive changes,no,01.0907,Poultry Science.,,,1.0907,1.0907
01.0999,"Animal Sciences, Other.",No substantive changes,no,01.0999,"Animal Sciences, Other.",,,1.0999,1.0999
01.10,Food Science and Technology.,No substantive changes,no,01.10,Food Science and Technology.,,,1.1,1.1
01.1001,Food Science.,No substantive changes,no,01.1001,Food Science.,,,1.1001,1.1001
01.1002,Food Technology and Processing.,No substantive changes,no,01.1002,Food Technology and Processing.,,,1.1002,1.1002
,,New,no,01.1003,Brewing Science.,,,,1.1003
,,New,no,01.1005,Zymology/Fermentation Science.,,,,1.1005
01.1099,"Food Science and Technology, Other.",No substantive changes,no,01.1099,"Food Science and Technology, Other.",,,1.1099,1.1099
01.11,Plant Sciences.,No substantive changes,no,01.11,Plant Sciences.,,,1.11,1.11
